asset_id,original_backup_path,original_asset_path,webp_asset_path,webp_status,width,height,source_type,source_title,source_date,description,reference_count
archive-image-0052,this_profile's_activity_across_facebook/posts/media/your_posts/1385473604815610.jpg,assets/images/original/archive-image-0052.jpg,assets/images/webp/archive-image-0052.webp,ok,960,720,unreferenced_media_file,your_posts,,,1
archive-image-0053,this_profile's_activity_across_facebook/posts/media/your_posts/1385473641482273.jpg,assets/images/original/archive-image-0053.jpg,assets/images/webp/archive-image-0053.webp,ok,960,720,unreferenced_media_file,your_posts,,,1
archive-image-0054,this_profile's_activity_across_facebook/posts/media/your_posts/1385473654815605.jpg,assets/images/original/archive-image-0054.jpg,assets/images/webp/archive-image-0054.webp,ok,960,720,unreferenced_media_file,your_posts,,,1
archive-image-0055,this_profile's_activity_across_facebook/posts/media/your_posts/1385473668148937.jpg,assets/images/original/archive-image-0055.jpg,assets/images/webp/archive-image-0055.webp,ok,960,720,unreferenced_media_file,your_posts,,,1
archive-image-0056,this_profile's_activity_across_facebook/posts/media/your_posts/1385473678148936.jpg,assets/images/original/archive-image-0056.jpg,assets/images/webp/archive-image-0056.webp,ok,960,720,unreferenced_media_file,your_posts,,,1
archive-image-0057,this_profile's_activity_across_facebook/posts/media/your_posts/1385473684815602.jpg,assets/images/original/archive-image-0057.jpg,assets/images/webp/archive-image-0057.webp,ok,720,960,unreferenced_media_file,your_posts,,,1
archive-image-0058,this_profile's_activity_across_facebook/posts/media/your_posts/1385473714815599.jpg,assets/images/original/archive-image-0058.jpg,assets/images/webp/archive-image-0058.webp,ok,960,720,unreferenced_media_file,your_posts,,,1
archive-image-0059,this_profile's_activity_across_facebook/posts/media/your_posts/2008450189184612.jpg,assets/images/original/archive-image-0059.jpg,assets/images/webp/archive-image-0059.webp,ok,1514,965,unreferenced_media_file,your_posts,,,1
archive-image-0060,this_profile's_activity_across_facebook/posts/media/your_posts/2028964517133179.jpg,assets/images/original/archive-image-0060.jpg,assets/images/webp/archive-image-0060.webp,ok,960,720,unreferenced_media_file,your_posts,,,1
archive-image-0061,this_profile's_activity_across_facebook/posts/media/your_posts/2028964520466512.jpg,assets/images/original/archive-image-0061.jpg,assets/images/webp/archive-image-0061.webp,ok,960,720,unreferenced_media_file,your_posts,,,1
archive-image-0062,this_profile's_activity_across_facebook/posts/media/your_posts/2028964550466509.jpg,assets/images/original/archive-image-0062.jpg,assets/images/webp/archive-image-0062.webp,ok,640,480,unreferenced_media_file,your_posts,,,1
archive-image-0063,this_profile's_activity_across_facebook/posts/media/your_posts/2028964557133175.jpg,assets/images/original/archive-image-0063.jpg,assets/images/webp/archive-image-0063.webp,ok,640,480,unreferenced_media_file,your_posts,,,1
archive-image-0064,this_profile's_activity_across_facebook/posts/media/your_posts/2314385261924435.jpg,assets/images/original/archive-image-0064.jpg,assets/images/webp/archive-image-0064.webp,ok,2048,1447,unreferenced_media_file,your_posts,,,1
archive-image-0065,this_profile's_activity_across_facebook/posts/media/your_posts/2533088020054157.jpg,assets/images/original/archive-image-0065.jpg,assets/images/webp/archive-image-0065.webp,ok,720,540,unreferenced_media_file,your_posts,,,1
archive-image-0066,this_profile's_activity_across_facebook/posts/media/your_posts/2533089716720654.jpg,assets/images/original/archive-image-0066.jpg,assets/images/webp/archive-image-0066.webp,ok,810,300,unreferenced_media_file,your_posts,,,1
archive-image-0067,this_profile's_activity_across_facebook/posts/media/your_posts/2563325220363770.jpg,assets/images/original/archive-image-0067.jpg,assets/images/webp/archive-image-0067.webp,ok,750,562,unreferenced_media_file,your_posts,,,1
archive-image-0068,this_profile's_activity_across_facebook/posts/media/your_posts/2563325253697100.jpg,assets/images/original/archive-image-0068.jpg,assets/images/webp/archive-image-0068.webp,ok,960,720,unreferenced_media_file,your_posts,,,1
archive-image-0069,this_profile's_activity_across_facebook/posts/media/your_posts/2563325347030424.jpg,assets/images/original/archive-image-0069.jpg,assets/images/webp/archive-image-0069.webp,ok,960,720,unreferenced_media_file,your_posts,,,1
archive-image-0070,this_profile's_activity_across_facebook/posts/media/your_posts/2563332277029731.jpg,assets/images/original/archive-image-0070.jpg,assets/images/webp/archive-image-0070.webp,ok,960,720,unreferenced_media_file,your_posts,,,1
archive-image-0071,this_profile's_activity_across_facebook/posts/media/your_posts/3267240583305560.jpg,assets/images/original/archive-image-0071.jpg,assets/images/webp/archive-image-0071.webp,ok,1514,965,unreferenced_media_file,your_posts,,,1
archive-image-0072,this_profile's_activity_across_facebook/posts/media/your_posts/3292313827464902.jpg,assets/images/original/archive-image-0072.jpg,assets/images/webp/archive-image-0072.webp,ok,960,611,unreferenced_media_file,your_posts,,,1
archive-image-0073,this_profile's_activity_across_facebook/posts/media/your_posts/3297020760327542.jpg,assets/images/original/archive-image-0073.jpg,assets/images/webp/archive-image-0073.webp,ok,719,1280,unreferenced_media_file,your_posts,,,1
archive-image-0074,this_profile's_activity_across_facebook/posts/media/your_posts/3965554710140807.jpg,assets/images/original/archive-image-0074.jpg,assets/images/webp/archive-image-0074.webp,ok,1200,649,unreferenced_media_file,your_posts,,,1
